Age,avgSpeed,gender
16,9.086817272287561,Male
16,7.564804117532882,Female
17,10.054808683698523,Male
17,8.356957467121854,Female
18,9.477006958744571,Male
18,7.705624722749023,Female
19,8.791714768967399,Female
19,9.758904698506505,Male
20,8.878171420610371,Female
20,10.222534931004487,Male
21,9.105025897126072,Female
21,10.387712389670769,Male
22,9.31170295247397,Female
22,10.449715188631425,Male
23,9.414661036861862,Female
23,10.642031385729148,Male
24,10.859692687164031,Male
24,9.781057627772062,Female
25,11.012788603526117,Male
25,9.926164731846017,Female
26,11.107256998803617,Male
26,9.937350140946819,Female
27,11.013026446947974,Male
27,9.944609630570328,Female
28,9.946294965143762,Female
28,11.110423633556556,Male
29,11.128388223747676,Male
29,9.972003697729852,Female
30,9.739813818737629,Female
30,10.961090078744,Male
31,11.084447114839948,Male
31,9.952189381078092,Female
32,10.970695157887954,Male
32,9.910799440137334,Female
33,10.933604265179495,Male
33,9.982705491168947,Female
34,11.047829303765702,Male
34,9.922314080527816,Female
35,9.959478224115623,Female
35,11.065994774290685,Male
36,10.980100857089024,Male
36,9.652498318540475,Female
37,10.983870138641995,Male
37,9.902327436302663,Female
38,9.676128544024408,Female
38,10.928010024864427,Male
39,9.708468959684199,Female
39,11.033508048943375,Male
40,10.990246150828186,Male
40,9.721865765989005,Female
41,10.958900844301315,Male
41,9.766162621443884,Female
42,9.713610514769623,Female
42,10.66904762959134,Male
43,9.597744777731826,Female
43,10.655784447019256,Male
44,9.676750487081277,Female
44,10.75601478003401,Male
45,10.593090372013961,Male
45,9.550969266279376,Female
46,9.438179094653599,Female
46,10.8053284381047,Male
47,10.678922312393919,Male
47,9.397789791988373,Female
48,10.723146701834043,Male
48,9.360232320264956,Female
49,10.644056044375223,Male
49,9.426955705503174,Female
50,9.498823795517781,Female
50,10.644912063384883,Male
51,9.329004882830406,Female
51,10.723503924167968,Male
52,10.458884243306299,Male
52,9.506128662442467,Female
53,10.468493307469595,Male
53,9.447162858560556,Female
54,10.449659131060983,Male
54,9.462483706554732,Female
55,9.363250258665918,Female
55,10.296058397990379,Male
56,9.208645150957967,Female
56,10.374466005259709,Male
57,9.233761421977677,Female
57,10.239659835593264,Male
58,10.327994249592603,Male
58,9.032430925775875,Female
59,10.282440488559184,Male
59,9.278189932587873,Female
60,10.055219588130146,Male
60,9.141034493926634,Female
61,8.91011719891312,Female
61,9.838635718065936,Male
62,10.390903455657472,Male
62,8.83542233717926,Female
63,9.746922850709556,Male
63,9.199582434823549,Female
64,9.74825563785296,Male
64,8.957137423320074,Female
65,9.230077139599016,Female
65,9.749722172690374,Male
66,9.453352828529276,Male
66,8.621912952353588,Female
67,8.841171433726737,Female
67,9.353262906890183,Male
68,9.222494598069163,Female
68,9.095168460633207,Male
69,8.780126387557441,Female
69,9.58162095366701,Male
70,8.913341185912358,Male
70,8.619831248152556,Female
71,8.815015757974038,Female
71,9.155694393584263,Male
72,8.862206212662562,Male
72,8.752133161914884,Female
73,8.095939532260175,Female
73,8.976769024236654,Male
74,9.573063567190331,Female
74,9.020409467983463,Male
75,8.785461128013422,Male
75,9.601771672777488,Female
76,7.5620912661207385,Female
76,8.267754753761988,Male
77,8.046231398867098,Female
77,8.914763239022937,Male
78,11.087986568839055,Female
78,8.469274323554497,Male
79,7.863151312388707,Male
79,6.472662730433101,Female
80,7.684270559616486,Female
80,8.711023686771524,Male
