ageS,NumSubs,NumCusts,Total,PercSubs,PercCusts
16,3314,1811,5125,64.66341463414635,35.33658536585366
17,15716,3465,19181,81.93524842291852,18.064751577081488
18,31136,9383,40519,76.84296256077396,23.15703743922604
19,55594,12690,68284,81.4158514439693,18.584148556030694
20,74820,14966,89786,83.3314770676943,16.668522932305706
21,99511,19269,118780,83.77757198181513,16.22242801818488
22,126062,23967,150029,84.02508848289331,15.974911517106694
23,230284,31099,261383,88.10213365061998,11.89786634938003
24,332897,33771,366668,90.78976076450631,9.210239235493688
25,450309,34131,484440,92.95454545454545,7.045454545454545
26,502619,34247,536866,93.62094079341958,6.379059206580413
27,539339,32904,572243,94.24999519434925,5.750004805650747
28,566474,34174,600648,94.3104780170749,5.689521982925108
29,566539,32299,598838,94.60638770418711,5.393612295812892
30,569095,43504,612599,92.89845396417559,7.101546035824413
31,528153,28721,556874,94.84245987422648,5.157540125773514
32,508867,25228,534095,95.2764957545006,4.723504245499396
33,508379,20970,529349,96.03853034576433,3.961469654235674
34,461897,19476,481373,95.95407303691732,4.045926963082682
35,422617,18547,441164,95.79589449728446,4.204105502715543
36,413000,15305,428305,96.42661187705023,3.5733881229497673
37,379799,13894,393693,96.47085419349595,3.5291458065040526
38,342035,13035,355070,96.32889289435886,3.6711071056411413
39,324222,11441,335663,96.59152185376404,3.408478146235957
40,291738,10571,302309,96.5032466780678,3.496753321932195
41,276325,9781,286106,96.58133698699083,3.418663013009164
42,271881,7907,279788,97.17393169113757,2.8260683088624243
43,258276,8358,266634,96.8653660073359,3.1346339926641016
44,245615,7621,253236,96.99055426558625,3.0094457344137484
45,243597,8730,252327,96.5402037831861,3.4597962168138965
46,234084,7130,241214,97.04411850058455,2.9558814994154567
47,243694,7199,250893,97.13064932062672,2.8693506793732784
48,262892,7527,270419,97.21654173708208,2.7834582629179163
49,235199,6639,241838,97.2547738568794,2.7452261431206013
50,216236,6622,222858,97.02860117204676,2.9713988279532257
51,213262,5333,218595,97.56032846130974,2.439671538690272
52,195978,5617,201595,97.21372057838737,2.786279421612639
53,190946,5440,196386,97.22994510810344,2.7700548918965713
54,191250,4990,196240,97.45719527109662,2.5428047289033837
55,184834,4216,189050,97.7699021422904,2.2300978577096005
56,173797,3661,177458,97.93697663672532,2.0630233632746906
57,152744,3256,156000,97.9128205128205,2.0871794871794873
58,157265,2831,160096,98.23168598840695,1.7683140115930442
59,136094,2193,138287,98.41416763687114,1.5858323631288553
60,117768,2103,119871,98.24561403508771,1.7543859649122806
61,112195,1742,113937,98.4710848977944,1.528915102205605
62,99819,1301,101120,98.71340981012658,1.2865901898734176
63,74920,1070,75990,98.5919199894723,1.408080010527701
64,73407,891,74298,98.8007752563999,1.199224743600097
65,63390,968,64358,98.49591348394917,1.5040865160508405
66,41996,692,42688,98.37893553223388,1.621064467766117
67,38617,515,39132,98.68394153122763,1.3160584687723602
68,29161,408,29569,98.62017653623728,1.3798234637627245
69,23051,254,23305,98.91010512765502,1.0898948723449902
70,22829,204,23033,99.11431424477924,0.8856857552207702
71,20603,235,20838,98.87225261541414,1.1277473845858528
72,16477,157,16634,99.05615005410606,0.9438499458939521
73,8313,98,8411,98.83485911306622,1.1651408869337772
74,7491,104,7595,98.63067807768269,1.369321922317314
75,6317,60,6377,99.05911870785637,0.9408812921436412
76,8056,39,8095,99.51822112415071,0.4817788758492897
77,5909,16,5925,99.72995780590718,0.270042194092827
78,4233,15,4248,99.64689265536724,0.3531073446327684
79,1171,9,1180,99.23728813559322,0.7627118644067797
80,1350,5,1355,99.63099630996311,0.36900369003690037
